Altium Designer Pick and Place Locations
D:\Synology Drive\IRNAS-Projects\SmartParks\Smartparks - Pangolin\Electronics\04_OUTPUT_FILES\Pangolin_V0.1_PICK & PLACE\Pangolin_V0.1_PICK & PLACE.csv

========================================================================================================================
File Design Information:

Date:       06/02/20
Time:       10:02
Revision:   Not in VersionControl
Variant:    BASIC
Units used: mm

"Designator","Footprint","Center-X(mm)","Center-Y(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Layer","Rotation","Comment"
"C33","CAP0603","9.4860","35.9442","9.4860","35.9442","8.7360","35.9442","BottomLayer","180","10uF"
"C4","CAP0402","25.5160","23.7642","25.5160","23.7642","25.5160","24.2442","BottomLayer","270","100nF"
"X1","9HT11","35.1960","18.8842","35.1960","18.8842","35.8960","18.8842","BottomLayer","360","9HT11-32.768KEZC-T"
"U11","LGA-12","11.3960","38.1942","11.3960","38.1942","12.1460","37.4442","BottomLayer","360","LIS2DW12TR"
"U10","SOT23-3AL","34.7660","36.9742","34.7660","36.9742","33.7960","37.9442","BottomLayer","180","DRV5032FBDBZR"
"U8","WLP-6","35.9760","22.8328","35.9760","22.8328","36.1760","23.2328","BottomLayer","270","MAX38640AENT+"
"U7","VDFN_2x2","4.9270","18.6001","4.9270","18.6001","5.6770","19.6501","BottomLayer","360","MCP1810T"
"U6","DSBGA-6","20.0360","36.7442","20.0360","36.7442","19.8360","37.1442","BottomLayer","180","LMH2110TMX"
"U5","HHM22106C1","18.5360","36.3342","18.5360","36.3342","18.0360","36.8842","BottomLayer","270","HHM22106C1"
"U4","Lora_Module_ES0","14.4335","28.2532","14.4060","28.5922","10.0310","22.3522","BottomLayer","90","CMWX1ZZABZ"
"U3","QFN-12","23.0762","37.7442","23.0760","37.7442","22.5760","36.7822","BottomLayer","180","PE64102"
"U2","uDFN-6","28.3860","27.3842","28.3860","27.3842","28.6860","26.8842","BottomLayer","90","MAX2659"
"U1","S-LGA51","28.5960","23.9642","28.5960","23.9642","26.5960","25.9642","BottomLayer","180","Ublox ZOE-M8B"
"TP4","TestPoint:1.2x1.2mm","41.5760","19.9142","41.5760","19.9142","41.5760","19.9142","BottomLayer","0","TestPoint"
"TP3","TestPoint:1.2x1.2mm","41.3560","18.1242","41.3560","18.1242","41.3560","18.1242","BottomLayer","0","TestPoint"
"T3","VMT6","21.2360","35.1742","21.2360","35.1742","20.7360","35.6042","BottomLayer","270","VT6M1T2CR"
"T2","VMT6","6.1468","14.8050","6.1468","14.8050","6.6468","14.3750","BottomLayer","90","VT6M1T2CR"
"T1","SOT-563","28.7660","36.5942","28.7660","36.5942","29.2660","37.2692","BottomLayer","0","NTZD3154NT1G"
"R31","RES0402","34.8160","21.5242","34.8160","21.5242","34.8160","21.0242","BottomLayer","90","768k"
"R30","RES0402","33.7260","21.5142","33.7260","21.5142","33.7260","21.0142","BottomLayer","90","1M"
"R29","RES0402","34.1360","23.7328","34.1360","23.7328","34.1360","24.2328","BottomLayer","270","100R"
"R28","RES0402","3.2125","18.5842","3.2125","18.5842","3.2125","18.0842","BottomLayer","90","0R"
"R27","RES0402","22.5660","30.3542","22.5660","30.3542","22.5660","29.8542","BottomLayer","90","100k"
